sample_id	tag1	IGHJ1	IGHJ3	IGHJ4	IGKJ1	IGKJ4	TRAJ27	TRBJ1-1	TRBJ1-2	TRBJ1-3	TRBJ1-4	TRBJ1-5	TRBJ1-6	TRBJ2-1	TRBJ2-2	TRBJ2-3	TRBJ2-4	TRBJ2-5	TRBJ2-6	TRBJ2-7
GD1	GD1	1.1028528172607052E-4	0.0	0.0	5.752477317166453E-5	0.0	0.0	0.10262901543409271	0.09398959847336291	0.023062911712532795	0.03204343885361318	0.06076015549659095	0.03036690157896337	0.22668994497606215	0.08664686173609981	0.126150189849498	0.026490874546284956	0.09021081082593915	0.012798136100971358	0.08799325036110056
GD2	GD2	0.0	0.0	7.040306691715674E-5	0.0	0.0	0.0	0.11097283422816837	0.07356075878468131	0.02013090158375598	0.02928994245363334	0.04773538830828694	0.02113093260538049	0.20931557111621477	0.07663545308367609	0.10375931864729579	0.01892665830672033	0.08644195776884699	0.014490555541552833	0.1875392245048798
GD3	GD3	0.0	0.0	0.0	2.168095122734709E-4	1.6998980696493644E-4	0.0	0.10629029839160277	0.07742303089981535	0.016741980817716388	0.03286490945784165	0.06511487240814742	0.022896907564249825	0.17985987544436713	0.08038883134758956	0.09079271226759365	0.017543038478856052	0.09934252532404009	0.011427548764871304	0.19892656951408055
GD4	GD4	0.0	0.0	0.0	0.0	0.0	0.0	0.13441465693335172	0.09189352050379146	0.011413121732026072	0.019875395716837187	0.06117443552504768	0.028048715889509405	0.18118818264158074	0.06308312267460807	0.09435747193262918	0.01415811854647809	0.12312861099300626	0.018890551891225883	0.15837399501991817
GD5	GD5	0.0	0.0	0.0	0.0	0.0	2.517646181686612E-4	0.10103597917918353	0.06305868268804826	0.015205032915292481	0.021052354500724596	0.06333499692086318	0.028070945723094543	0.18799502240578797	0.06858713281639016	0.10207091525511933	0.01980595438108109	0.10320414096741046	0.030875300403407267	0.1954516772254385
GD6	GD6	0.0	0.0	8.804889573021879E-5	1.846601798245459E-4	2.959712285579541E-4	0.0	0.09407436218804109	0.0659544608940003	0.01898030017587645	0.02589832077460489	0.05833986305727291	0.020468808522292894	0.21648517026815636	0.0670112572117089	0.11693090946550687	0.026399340247588634	0.10409544023139573	0.012526025716169138	0.17226696094328314
GD7	GD7	0.0	0.0	6.0065661713640684E-5	1.648944307602086E-4	0.0	0.0	0.07390643017982848	0.06030087577185738	0.011766692230273164	0.030906597304651062	0.033459834774611785	0.015453776857149923	0.23415076586990455	0.07625715966579201	0.12686662671448673	0.0271973114308449	0.10778855901149989	0.0164513905150762	0.18526891958156014
GD8	GD8	0.0	2.4118088545675226E-4	0.0	0.0	0.0	0.0	0.09211729632441126	0.07672153052684223	0.01435861284631796	0.02670909232912696	0.04420994231095001	0.023104506206807117	0.20533916996682783	0.07484492946158233	0.12362645108575689	0.01998194447513246	0.10206527558096526	0.01584886749793816	0.18083110050189485
GD9	GD9	5.879309116374593E-5	0.0	1.2876186166675224E-4	9.80045885572604E-5	1.6533242042678155E-4	0.0	0.1152403685862987	0.0883985607567825	0.016977435038202877	0.0294892199833102	0.05156030099771016	0.020456630138554328	0.18645160409665348	0.07331010538603298	0.10013260537761288	0.01853930869064409	0.0966558901830514	0.009959994093786635	0.19237698470955522
GD10	GD10	0.0	0.0	1.823946023137574E-4	1.1134053376441976E-4	9.711249134526568E-5	0.0	0.09849052965755156	0.07741230935428633	0.021146388563008985	0.028736252365823205	0.055141546508720676	0.029848107119631602	0.21057123748743742	0.0966212864862481	0.11097359097113145	0.01892596686741437	0.08281681188490403	0.014996801784778318	0.15392822332165038
GD11	GD11	3.565159909782716E-4	0.0	2.356081143386283E-5	1.473467752187206E-4	4.037786965491941E-5	0.0	0.08800267809186672	0.08211611516714341	0.016634186821172913	0.02482290908012062	0.056419226957259386	0.01886642556769305	0.19548092043074897	0.08330863082418462	0.11796830565237586	0.025591640513299253	0.08439733782821356	0.01740853334593878	0.18841518827270692
GD12	GD12	2.081713768643741E-5	0.0	1.6908397305211694E-5	5.712774403329892E-6	2.3452442287354295E-5	0.0	0.09504521409561349	0.08732837013302258	0.017787492472218225	0.024794254494422466	0.05011258087226624	0.022679838187476088	0.18676934304939757	0.07271385514674053	0.13769531980240543	0.022790821653051616	0.10882171990541205	0.015180698683493806	0.15821350075280746
