sample_id	tag1	IGHV1-24	IGHV2-5	IGHV3-22	IGHV3-38	IGHV3-41	IGHV3-49	IGHV3-71	IGHV3-75	IGKV1-12	IGKV1-27	IGKV1-33	IGKV1-39	IGKV2-28	IGKV7-3	TRAV13-2	TRBV1	TRBV10-1	TRBV10-2	TRBV10-3	TRBV11-1	TRBV11-2	TRBV11-3	TRBV12-1	TRBV12-2	TRBV12-3	TRBV12-4	TRBV12-5	TRBV13	TRBV14	TRBV15	TRBV16	TRBV18	TRBV19	TRBV2	TRBV20-1	TRBV21-1	TRBV22-1	TRBV23-1	TRBV24-1	TRBV25-1	TRBV27	TRBV28	TRBV29-1	TRBV3-1	TRBV3-2	TRBV30	TRBV4-1	TRBV4-2	TRBV4-3	TRBV5-1	TRBV5-2	TRBV5-3	TRBV5-4	TRBV5-5	TRBV5-6	TRBV5-7	TRBV5-8	TRBV6-1	TRBV6-2	TRBV6-3	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV6-8	TRBV6-9	TRBV7-1	TRBV7-2	TRBV7-3	TRBV7-4	TRBV7-5	TRBV7-6	TRBV7-7	TRBV7-8	TRBV7-9	TRBV8-2	TRBV9
GD1	GD1	0.0	2.318856919181301E-5	0.0	0.0	8.709671253425754E-5	0.0	0.0	0.0	3.4987568282992342E-6	5.2928002232356504E-5	0.0	0.0	0.0	1.0980141110088021E-6	0.0	0.0	0.002019694599953055	0.004601888801689859	0.022604760672112225	7.893604833633618E-4	0.012684947595494147	0.002593509330202791	0.0	2.613831896460784E-4	0.07998247439453628	0.047337230756046934	0.002082374456323863	0.001857002407437141	0.003071350182986892	0.025529144457901894	6.062898933634705E-4	0.006553618189212334	0.0025868095830847712	0.01308060488363054	0.12192773005959212	0.003043415959586482	5.558929067090326E-5	2.512405169257429E-4	0.061005198747432515	0.0033884901569818248	0.02493480244689889	0.013267844205170532	0.01755942305284411	0.025182786142308927	0.0	0.0032016230436150554	0.023253500907631824	0.01032531527093623	0.0	0.15366218029820403	0.0	1.7430508752048205E-4	0.003603458987426956	0.017618306385848027	0.01809037801194717	0.0	0.0032056056710685456	0.015053754851522017	0.004850877459167598	0.0	0.0012315810139699919	0.03273881677323765	0.009522536682928169	0.0011998688776113644	0.0	0.0	0.0	0.043924695951074844	0.040188414477033176	3.506573199936924E-4	0.0	0.01684476474984667	0.005575790097337341	0.0251698146874721	0.04605839791448624	0.0	0.025128480969835647
GD2	GD2	0.0	0.0	7.040306691715675E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.600780266113045E-5	0.003895958294600679	0.03631475731707443	0.0016574088186255959	0.011370115016825999	0.005629328317005314	2.8151371914270714E-4	2.1767398405181387E-4	0.06070403925435403	0.026278062985059872	0.0014199660002742558	0.0014710338464059333	0.006949898274036784	0.017605004315903748	0.0016911715436057442	0.009293066865128404	0.0012176458765607578	0.020414268015185987	0.12084627307214402	0.003449829117761417	0.0	0.0	0.03489252470070402	0.004203212888713657	0.02401117095303024	0.023095596018119065	0.03558407912649412	0.02850198785978843	1.1153722163611144E-4	0.0030228971937713467	0.02196349026205674	0.012834053369365701	0.014153302776149852	0.13641254490322777	0.0	0.0	0.0024701188021815984	0.012723580471809525	0.01816992388588682	1.287635039669051E-4	0.0019725867142225315	0.006924985206684241	0.012935814577230555	4.186341381076174E-5	0.002533643181989548	0.03156519140066099	0.01062733506726274	0.0	2.0549338624811767E-4	0.0	0.0	0.055417916033717235	0.039446787148449465	3.40268350296135E-4	0.0	0.012527015582009745	0.005707339330123484	0.016878031549898025	0.05513671766985751	0.0	0.044616701947321515
GD3	GD3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.258821038947081E-4	1.6998980696493644E-4	9.09274083787628E-5	0.0	0.0	0.0010698848830117558	0.004257316180372016	0.04124586270825584	9.076920824819495E-4	0.014336133498756846	0.002102291401758032	0.0	0.0	0.1180463384275889	0.04755944158573019	0.0014975902360112804	0.0016533043645273555	0.0013630824583308488	0.020609446676331904	7.287376014515014E-4	0.007377474755543183	0.0010304478504630547	0.014594790712235286	0.11814807617822312	0.003782037788108872	0.0	4.9569374244594806E-5	0.0214900940698263	0.0032311246667551916	0.017232401222476743	0.021601738161969888	0.02374892826745099	0.022658741034349703	0.0	0.006085092688897064	0.022020365840810647	0.011725982011178238	0.007107705866227233	0.14693428493644334	0.0	0.0	0.002496172060174238	0.01790957311470267	0.011781917057343303	0.0	0.0015857679754539826	0.013067142451416111	0.006875189340990241	0.0013474884454605888	9.703318008472696E-4	0.03287801746866013	0.01456559902147574	0.0	0.0	0.0	0.0	0.06885118282518261	0.011553995869232328	0.0010419738599758558	0.0	0.016339775819096493	0.002144666436731565	0.015680985275374634	0.05601746089974958	0.0	0.02030988342909234
GD4	GD4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.118597616049729E-4	0.010584050724637454	0.00644740268497554	0.029731871201209768	0.003284985207966813	0.016497132292435056	0.020235010160757926	1.4526259665251101E-4	0.021387502324552336	0.07837773620940251	0.025006470431189087	0.0011107604016775353	5.24197300812546E-4	0.0012546319395928174	0.01403737980015599	0.0	0.014067133000924504	0.0054840429887503305	0.011704909182333393	0.16528557339722957	0.006381172832875238	1.159215614357687E-6	8.439347275993819E-4	0.01603038056540068	0.0014730281613378055	0.005605168140277215	0.0029779476322439402	0.09311855380469768	0.0047198107747247866	5.786804346873572E-4	0.007731916627071799	0.01125688522755764	0.00942246515835708	0.009212518330423409	0.1694377549261234	4.054678615553331E-5	0.004377198159814626	0.0027381960828477855	0.007073430637422661	0.009895012963463245	7.204138638028238E-4	8.374946408529502E-4	0.011271851989156345	0.00808995968982641	3.002626044656266E-4	0.004352390945667371	0.025987244121976658	0.008976605072728131	1.325627455885479E-4	1.386937081711508E-4	2.1061659695529884E-4	7.890394281727988E-5	0.04785762415077644	0.013898660331637853	2.5940669414626462E-5	9.03312327401481E-4	0.03569652498367282	0.007265577065589196	0.009672185962036709	0.029787410509311017	9.276300949560068E-5	0.005009228273109422
GD5	GD5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5176461816866136E-4	3.064484858904014E-4	0.014637793211976318	0.00961996139161053	0.05169863913964657	9.724565088557203E-4	0.01943449614498545	0.01992067881052818	0.0	0.018455383658899753	0.0577275184601365	0.03197825509596746	0.003370477455943046	4.035300167894805E-4	7.995150730888001E-4	0.01557284404057719	2.2593851473859405E-4	0.02598607482801277	0.00511600748450815	0.00738533100885394	0.1510213424264993	0.006374716603138616	5.698610642115467E-7	0.0011885934132898758	0.011013704788016564	0.0025667454109790802	0.011351130921357503	0.022298503881499843	0.05039598233574407	0.0026878294899027495	2.9862999208941893E-4	0.00792724608647655	0.02207935811064665	0.00698150466431107	0.006613397211272979	0.1790167245724794	0.0	0.0032236812458021507	0.0011042767702291352	0.0040319949737223785	0.012012739616907114	1.348519222350204E-4	0.0013977780127406505	0.011437225530938589	0.010220002297782723	7.53812215739034E-5	0.004734724843665488	0.025773721801044973	0.011416026699349921	1.5032934873900603E-4	3.9502768971144426E-5	4.3639960297320253E-4	0.0	0.04299975558334242	0.013981814743741121	6.423473915792555E-5	5.997445784188003E-4	0.04076042954541672	0.006301956742460085	0.009514081205880025	0.024094979489205456	1.420321716440859E-4	0.009673140826122752
GD6	GD6	0.0	0.0	0.0	8.804889573021882E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3427381752806233E-4	2.9597122855795415E-4	5.0386362296483594E-5	0.0	0.0	0.001981324692086325	0.004672938418922546	0.04520818308723696	0.001662989463150787	0.01249629686426159	8.597715700715485E-4	0.0	0.0	0.08781016676233279	0.022541864535874433	0.0	0.0015074593668167214	0.0034648931990619324	0.037831266373665684	0.0011138888862762739	0.008341891894522106	0.001088620859075898	0.016630463461504083	0.1260811387230742	0.003265413500914891	0.0	0.0	0.03004682787543621	0.0027690045447425833	0.026181358605354112	0.024568845319762365	0.041311967058938276	0.017763333306601493	2.063355965224985E-4	0.0016350569164944476	0.03454196201290968	0.028544727485952295	0.019550597154715268	0.07057889907114018	0.0	0.0	0.0021168559232902355	0.012665089681033768	0.018129330501535843	0.0	0.002604642614256728	0.00993716064970222	0.010344772249622972	3.422859656183583E-4	0.0022149042515855312	0.03158739913571695	0.011853489030115539	0.0	0.0	0.0	0.0	0.05924825462281059	0.030885911996697983	7.756446074731415E-4	0.0	0.009952788505387762	0.008858299715824572	0.018524068580489578	0.06862556680255189	0.0	0.026507268254765605
GD7	GD7	0.0	0.0	6.006566171364067E-5	0.0	0.0	0.0	0.0	0.0	1.6489443076020855E-4	0.0	0.0	0.0	0.0	0.0	0.0	2.096732169398373E-4	0.003293294713120617	0.004664801828338764	0.043609865442641345	0.0021617366678230022	0.009462717065173694	9.611446604984601E-4	6.85792754725827E-5	7.988215605973059E-4	0.0803948857045647	0.021057098770196816	1.7185583869569704E-4	8.074606051298604E-4	0.0019266950769200558	0.026948237272144068	8.66193564873869E-4	0.009746269007771237	0.0014704249590582292	0.01890158660451433	0.12411022274896734	0.004742615944518559	1.3348970081700253E-4	0.0	0.026837027212489963	0.005519032433179349	0.02064799062321325	0.03006284016940712	0.03563340897169444	0.028804581363914256	8.476925257660394E-4	0.0031194319820471213	0.028021611117332222	0.022641367835155007	0.016562067493942435	0.06715052488805716	0.0	2.341949331810626E-4	0.0018001040686517358	0.016181730030656222	0.01229575923337029	4.216825820382057E-4	0.0023058252690102534	0.009318644142833144	0.016596890212466582	1.0744713644572684E-4	0.0013729495691146888	0.032327712290832915	0.016517225992376004	6.357772337478802E-4	0.0	3.280014729964403E-5	0.0	0.07316176335573829	0.03381185624075501	3.4211243502783596E-4	0.0	0.012024060498879113	0.006620236231262761	0.02035068833205845	0.07197106470068253	0.0	0.028989168426131622
GD8	GD8	2.4118088545675215E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.495693857648111E-4	0.003761697979095095	0.005573353342701212	0.041955490680625616	0.0020404911983352876	0.01596331608623622	0.004499747987003604	0.0	8.269343731471002E-4	0.04945709494057498	0.02576430489406498	9.60567630339835E-4	0.0020757474363759226	0.0021141627805654805	0.020758609188298166	6.92641690884445E-4	0.00944502195380562	6.376333716796781E-4	0.016648366721083205	0.12260210324923584	0.004291323658508487	4.016358739818362E-5	0.0	0.02003695279433721	0.00402795235267557	0.02919320790938461	0.03168713818835735	0.03413745439991488	0.028341154041713553	5.82118982072414E-4	0.0028805987374140563	0.024944409500152618	0.01271673643501626	0.017482386079865266	0.096901885270687	0.0	2.783233859066952E-4	0.003829312051962064	0.013946242145616477	0.017745143967028497	0.0	0.002316636947964571	0.012277605344849406	0.016263661202384917	2.0051122765607133E-4	0.0028105923317352836	0.043539552382308666	0.011605513179399696	0.0	0.0	1.643808680111227E-4	0.0	0.06294213825938236	0.049463919223275254	3.8070296187854466E-4	0.0	0.014898927346050759	0.004499701980603377	0.017124103570364032	0.06544194202211744	0.0	0.026739471888743534
GD9	GD9	0.0	0.0	0.0	0.0	5.8793091163745916E-5	4.4284031963928044E-5	8.447782970282417E-5	0.0	0.0	0.0	4.402637941431973E-5	5.0612622713682115E-5	0.0	1.6869800685604007E-4	0.0	0.0	0.0042739565961869746	0.004880841073504993	0.04170507487190802	0.0014235142333015544	0.012374069657341683	0.005650755201587671	0.0	7.223772326799446E-4	0.08573504531863793	0.047815852597536984	0.0012688421871148165	0.0032279677611989927	0.004524684733524559	0.03261459371991203	0.0018540677469813885	0.008300953223574385	0.0027094581083966225	0.02109918339070874	0.10965631318849087	0.002205795683765431	1.1433331888868693E-5	1.0077435346554971E-4	0.023863795248005887	0.003980892924291873	0.017055197798331527	0.012378723506518982	0.03027291852279691	0.025982343337160207	1.6874631670909162E-4	0.003940103305032009	0.02581532007187663	0.011391189593723382	0.010064311169809294	0.10795913974093657	0.0	2.3695982921789128E-4	0.002465042458524441	0.015474386683494106	0.01805909264802726	2.697783227242496E-4	0.001957112663540361	0.009875516264083811	0.013338141084838568	3.7359619693204744E-6	0.0015553035124262042	0.02667589569085272	0.009492097063697942	0.0	2.9192033870621367E-4	0.0	0.0	0.05908022882700005	0.02376054098875036	3.2163089833292177E-4	0.0	0.01967096699837684	0.006903703447048525	0.028020069042159274	0.07087403273605504	0.0	0.026194616831468755
GD10	GD10	0.0	0.0	1.823946023137574E-4	0.0	0.0	0.0	0.0	0.0	5.87786131826608E-5	0.0	0.0	3.988446199839563E-5	9.711249134526568E-5	1.2677458583363334E-5	0.0	1.0733485885529363E-4	0.005261805745951769	0.005816555827721389	0.03978498055952347	0.0022422590846153476	0.015097230802661244	0.0027509510835588883	0.0	0.0014396309479852865	0.11357905996202312	0.03477100979665892	9.365526368176183E-4	0.0024096503525920555	0.0029368488567609137	0.028238500597276613	3.781558115823407E-4	0.008721703859395025	0.0019993342836747956	0.016582632688317837	0.06678103278659951	0.0044749849500921295	1.0236724767766768E-5	2.0467706632438016E-4	0.01988638126659387	0.002064444447520268	0.0218427729923719	0.017449007049308185	0.020992177257636514	0.043653873874171994	0.0	0.0034576870957514815	0.030447379057649247	0.012219533847784203	0.0	0.08277213209882092	0.0	0.0	0.002834323679248119	0.01972405811059896	0.01833607021870015	3.709915399706778E-5	0.0017254695923071218	0.020093283707867775	0.01065012764709787	0.0	0.0017614058084273465	0.046282931839528446	0.020388899644709725	2.112670476264909E-4	1.4133284518077992E-4	0.0	0.0	0.03909686591061809	0.04467858007350588	5.504572617057193E-4	3.188172653478666E-4	0.023504051285328835	0.006003271964614528	0.02127722625278271	0.07931672780704993	0.0	0.033366266984978944
GD11	GD11	0.0	0.0	2.3560811433862822E-5	0.0	2.686496834273149E-4	0.0	0.0	8.786630755095668E-5	0.0	0.0	0.0	1.0299037333365186E-4	4.0377869654919404E-5	4.4356401885068695E-5	0.0	1.5694039903610182E-4	0.008752488740922047	0.008180708761406124	0.044321441591216544	0.002782602371690798	0.024158437764604405	0.0019251017016607484	0.0	8.619024503697891E-4	0.05665156195288387	0.038068261153966144	0.002029643984729565	9.170093542384527E-4	0.0037567220041833087	0.018964280530630345	7.969761903586293E-4	0.009157057500609142	0.0012226509224439641	0.02168099727992825	0.09830560930784012	0.0032888635438421358	0.0	1.984469303165955E-4	0.019795934849434746	0.005783516118308299	0.024049352618492642	0.02306118114876174	0.03481523261673597	0.022788496500022983	6.835456969884155E-4	0.0033486826099975715	0.03344167963495273	0.01310988446223598	0.036422108173066084	0.08338227599525332	0.0	0.0	0.0031099424596479747	0.011624960794549194	0.01742140008847032	0.0	8.718064561342031E-4	0.007359353479935091	0.031668947252744536	0.0010156261637730042	0.0046165646470864245	0.04159027797311126	0.012115561786645692	5.153751147778497E-4	3.636829923006682E-4	0.0	0.0	0.07739071932281102	0.03227182186004503	6.794542985957087E-5	2.0166361594948216E-4	0.011712827102100152	0.008953785541843218	0.0058812864316236686	0.05365188973405452	0.0	0.03016706544413349
GD12	GD12	0.0	2.081713768643742E-5	1.69083973052117E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3452442287354305E-5	5.712774403329895E-6	0.0	0.0	0.0038064764134236946	0.005016664883310521	0.05105322543532106	0.0035647004812456146	0.019400953292477572	0.00435886455634877	0.0	6.43845593202533E-4	0.05921685080411171	0.04364273121093471	0.0016980912398257063	4.917761371039868E-4	0.00347863744642641	0.025308121204993227	4.3804422181817804E-4	0.005810722838765314	3.157590136924105E-4	0.01607256358151955	0.11432741950157727	0.006887607343705091	9.497708528136699E-6	0.0	0.026954072324258508	0.0037003037052404457	0.018431744857406146	0.025085216883615005	0.03652686050360925	0.026028355258406227	0.0010299442471489466	0.0016053072939437604	0.05082476751901203	0.028370716570027904	0.02149083827404497	0.05782785072673982	0.0	8.763183695411341E-4	0.0011585789475681983	0.01271904120050848	0.012953760176070684	1.5933865201114248E-4	0.0026408405092396177	0.0069778444180264194	0.020782807980193264	4.6275241327778133E-4	0.0019127359152399837	0.038977499229773324	0.013243749801819905	1.7721981275964566E-5	3.00884576314081E-4	2.5079610228860036E-5	0.0	0.06094009240059853	0.0192234858672051	2.952071751268708E-4	0.0	0.016025800189809317	0.003585889037701309	0.016324827672277116	0.07130203934497142	0.0	0.035608182707764766
